EXP_INFO, , ,PID,2296899, , , , ,train.py --config ckpt/0501/08_H36MMESH_vx1000_M00V00/config.yaml -c ckpt/0501/08_H36MMESH_vx1000_M00V00/ -gpu 0 -bs 286 -vertex_x1000, , ,Checkpoint,ckpt/0501/08_H36MMESH_vx1000_M00V00/, , ,Config,ckpt/0501/08_H36MMESH_vx1000_M00V00/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,PE, , , , , , , , , ,MP, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
1,0.00020000,0.77421,559.03508,559.80929,263.69,263.92,263.6,263.53,263.87,354.75,310.86,131.13,274.97,122.7,261.78,261.44,261.52,262.12,261.79,353.33,310.8,130.45,274.96,122.19,263.95,263.63,263.72,264.28,263.86,353.82,311.23,130.65,275.39,122.36,279.11,279.11,354.48,310.68,131.03,274.8,122.6,256.57,256.57,354.04,310.42,131.4,274.55,123.02
2,0.00019800,0.74642,556.77640,557.52282,271.32,271.66,271.3,271.1,271.39,355.44,310.5,132.35,274.56,123.82,271.4,271.01,271.05,271.77,271.52,354.53,310.66,131.55,274.76,123.17,271.33,271.04,271.05,271.63,271.35,354.47,310.81,131.8,274.92,123.42,286.99,286.99,355.47,310.49,132.31,274.55,123.78,269.72,269.72,355.4,310.64,132.53,274.71,124.01
3,0.00019602,0.74406,556.65393,557.39800,250.46,250.98,250.64,250.14,250.14,355.3,310.98,130.51,274.9,122.19,250.48,250.17,250.21,250.83,250.41,354.4,311.36,130.02,275.33,121.86,250.54,250.23,250.27,250.89,250.47,354.4,311.36,130.02,275.33,121.86,265.83,265.83,355.29,310.98,130.51,274.89,122.19,250.59,250.59,355.3,310.98,130.51,274.9,122.19
4,0.00019406,0.73275,556.51816,557.25091,249.72,250.2,249.89,249.42,249.43,357.03,312.22,130.63,275.94,122.24,249.85,249.51,249.59,250.21,249.77,356.12,312.58,130.13,276.36,121.88,249.86,249.52,249.6,250.23,249.78,356.12,312.58,130.13,276.36,121.89,265.06,265.06,357.02,312.22,130.63,275.94,122.24,249.83,249.83,357.03,312.22,130.63,275.94,122.24
5,0.00019212,0.73060,556.47163,557.20223,248.3,248.77,248.43,248.0,248.07,356.54,311.58,130.49,275.38,122.2,248.47,248.16,248.2,248.81,248.39,355.64,311.95,130.0,275.8,121.86,248.48,248.17,248.21,248.82,248.4,355.64,311.95,130.0,275.8,121.86,263.54,263.54,356.54,311.58,130.48,275.38,122.2,248.41,248.41,356.54,311.58,130.49,275.38,122.2
6,0.00019020,0.72978,556.44744,557.17722,247.37,247.8,247.5,247.09,247.18,354.27,310.11,132.22,274.26,123.71,247.6,247.27,247.35,247.95,247.51,353.31,310.44,131.6,274.65,123.27,247.6,247.28,247.35,247.96,247.52,353.31,310.44,131.6,274.65,123.27,262.49,262.49,354.27,310.11,132.21,274.26,123.7,247.49,247.49,354.26,310.1,132.22,274.26,123.71
7,0.00018830,0.72905,556.42624,557.15529,248.41,248.78,248.5,248.15,248.3,354.54,310.3,133.24,274.43,124.64,248.77,248.4,248.5,249.15,248.72,353.6,310.65,132.67,274.84,124.25,248.78,248.4,248.5,249.15,248.72,353.61,310.66,132.67,274.84,124.24,263.68,263.68,354.54,310.3,133.24,274.43,124.64,248.53,248.53,354.54,310.29,133.25,274.43,124.65
8,0.00018641,0.72840,556.40521,557.13361,247.92,248.32,248.03,247.65,247.75,355.49,310.73,131.28,274.63,122.99,248.19,247.84,247.93,248.55,248.11,354.61,311.12,130.78,275.07,122.65,248.19,247.84,247.93,248.55,248.11,354.61,311.12,130.78,275.07,122.65,263.1,263.1,355.49,310.73,131.28,274.63,122.99,248.03,248.03,355.49,310.73,131.28,274.63,122.99
9,0.00018455,0.72789,556.41430,557.14219,247.45,247.88,247.58,247.17,247.25,354.46,310.32,131.49,274.38,123.16,247.68,247.34,247.42,248.04,247.6,353.55,310.69,130.97,274.79,122.8,247.68,247.34,247.42,248.04,247.6,353.55,310.69,130.97,274.79,122.8,262.55,262.55,354.46,310.32,131.49,274.38,123.16,247.56,247.56,354.46,310.32,131.49,274.38,123.16
10,0.00018270,0.72746,556.39019,557.11765,245.98,246.36,246.06,245.72,245.88,355.31,310.79,131.64,274.74,123.23,246.3,245.97,246.05,246.65,246.22,354.39,311.17,131.08,275.17,122.84,246.3,245.97,246.05,246.65,246.22,354.39,311.17,131.08,275.17,122.84,261.05,261.05,355.31,310.79,131.64,274.74,123.23,246.1,246.1,355.31,310.79,131.64,274.74,123.23
11,0.00018088,0.72678,556.39452,557.12130,247.71,248.13,247.83,247.43,247.52,355.84,311.24,130.62,275.12,122.25,247.96,247.61,247.7,248.33,247.88,354.94,311.62,130.13,275.55,121.9,247.96,247.61,247.7,248.33,247.88,354.94,311.62,130.13,275.55,121.9,262.92,262.92,355.84,311.24,130.62,275.12,122.25,247.83,247.83,355.84,311.24,130.62,275.12,122.25
13,0.00017728,0.72626,556.37580,557.10205,247.25,247.65,247.35,246.98,247.12,355.75,310.88,131.48,274.82,122.99,247.55,247.21,247.29,247.9,247.47,354.83,311.25,130.93,275.24,122.6,247.55,247.21,247.29,247.9,247.47,354.83,311.25,130.93,275.24,122.6,262.45,262.45,355.75,310.88,131.48,274.82,122.99,247.37,247.37,355.75,310.88,131.48,274.82,122.99
15,0.00017375,0.72593,556.35146,557.07739,245.94,246.31,246.03,245.68,245.82,354.91,310.54,131.4,274.57,122.97,246.27,245.92,246.01,246.63,246.18,353.98,310.9,130.87,274.98,122.6,246.27,245.92,246.01,246.63,246.18,353.98,310.9,130.87,274.98,122.6,261.01,261.01,354.91,310.54,131.4,274.57,122.97,246.05,246.05,354.91,310.54,131.4,274.57,122.97
