EXP_INFO, , ,PID,31292, , , , ,train.py --config ckpt/0502_AMASS_H36MMESH/01_smalldata_h36mNoMPFPE/config.yaml -c ckpt/0502_AMASS_H36MMESH/01_smalldata_h36mNoMPFPE/ -gpu 0 -bs 220, , ,Checkpoint,ckpt/0502_AMASS_H36MMESH/01_smalldata_h36mNoMPFPE/, , ,Config,ckpt/0502_AMASS_H36MMESH/01_smalldata_h36mNoMPFPE/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,AMASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,PE, , , , , , , , , ,MP, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , ,PE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
1,0.00020000,0.36297,147.40459,147.76756,70.97,71.09,70.92,70.97,70.99,125.68,109.73,54.38,97.17,48.55,89.52,89.5,89.36,89.53,89.84,150.71,132.8,76.83,117.19,67.78,93.75,93.67,93.54,93.81,94.15,150.66,132.71,79.05,116.5,69.89,102.14,102.14,148.27,129.03,68.44,114.71,60.66,216.64,216.64,206.31,184.8,73.55,164.29,65.43,152.44,152.9,152.66,151.78,152.42,875.69,848.94,94.71,790.32,85.54,189.55,189.55,889.49,861.73,110.02,802.12,99.61,386.56,386.56,878.04,853.97,115.87,795.61,106.49
2,0.00019800,0.28860,133.87538,134.16397,62.37,62.79,62.27,62.21,62.68,122.89,106.86,53.16,95.67,46.95,81.16,79.81,80.55,81.66,82.68,141.14,124.0,71.78,109.63,63.13,85.32,83.68,84.62,85.96,87.06,147.89,129.41,77.18,114.55,67.89,87.59,87.59,139.68,122.35,60.86,109.62,53.95,217.94,217.94,212.66,190.32,75.84,168.83,67.24,132.46,133.27,132.54,131.77,133.2,856.88,833.4,82.7,775.67,74.79,145.58,145.58,867.4,842.71,93.57,784.89,84.25,433.08,433.08,853.39,831.31,103.34,774.41,94.92
3,0.00019602,0.26372,128.69930,128.96301,66.51,70.58,67.45,64.94,64.2,114.53,97.15,54.2,86.69,47.72,79.12,73.23,76.46,81.3,86.26,125.11,106.84,63.31,94.33,55.67,84.05,78.2,81.58,86.19,90.65,130.08,112.05,68.83,99.11,60.44,87.67,87.67,126.42,107.54,59.55,95.96,52.67,196.81,196.81,223.34,201.29,79.38,179.78,70.2,107.05,108.2,106.77,106.28,108.43,845.01,823.47,74.7,766.75,67.63,124.24,124.24,861.3,839.66,86.35,781.63,77.77,402.04,402.04,884.45,857.43,107.54,797.14,99.07
4,0.00019406,0.24860,125.45075,125.69936,55.94,57.04,55.94,55.61,55.94,103.29,88.32,40.86,79.79,36.44,67.24,55.93,62.24,71.67,80.16,113.02,98.54,49.75,88.43,44.13,76.29,66.77,72.42,79.87,86.54,121.98,106.1,60.13,94.61,53.05,76.89,76.89,115.22,100.07,48.73,90.2,43.46,193.91,193.91,262.84,242.44,81.49,217.23,72.51,106.17,106.89,105.87,105.53,107.86,836.54,816.68,67.56,761.22,61.43,114.48,114.48,853.42,831.69,75.13,774.89,68.04,422.01,422.01,862.28,841.41,100.06,784.0,92.4
5,0.00019212,0.23652,123.09653,123.33306,56.13,56.47,56.18,56.24,55.78,94.96,81.87,40.02,73.16,35.84,64.74,52.28,58.56,69.73,80.33,101.87,89.24,47.56,79.2,42.27,73.9,63.44,68.96,77.85,86.64,112.88,98.59,57.08,87.17,50.57,77.75,77.75,107.91,92.85,50.29,82.56,44.8,211.21,211.21,287.51,262.42,88.69,232.63,79.26,105.1,105.75,105.06,104.51,106.21,838.94,818.2,66.05,762.15,59.93,113.73,113.73,852.68,831.15,73.51,773.89,66.59,442.13,442.13,877.36,852.81,107.3,793.96,98.81
6,0.00019020,0.22913,121.38562,121.61475,47.59,47.69,47.44,47.68,47.85,105.91,91.1,39.46,82.38,35.15,59.89,47.17,53.29,64.63,76.97,115.32,100.55,47.72,90.52,42.27,64.62,52.77,58.71,69.04,79.96,122.83,106.22,54.36,95.22,48.09,76.54,76.54,120.05,104.06,49.44,93.81,43.92,201.46,201.46,311.73,283.01,94.68,251.87,84.57,108.9,109.73,108.76,108.31,109.79,840.23,817.87,64.37,762.33,58.7,109.49,109.49,851.19,828.88,70.42,771.95,63.74,451.04,451.04,870.17,845.19,110.27,787.13,101.69
7,0.00018830,0.22269,119.99448,120.21718,49.36,49.3,49.32,49.53,49.22,93.23,79.46,34.72,71.55,31.03,58.34,46.71,52.02,62.37,75.63,103.4,89.68,42.71,80.2,37.97,65.16,54.68,59.59,68.78,80.44,108.46,93.34,48.74,83.26,43.22,72.43,72.43,111.16,94.84,47.22,85.13,41.96,197.71,197.71,284.85,255.29,95.23,225.23,85.48,104.66,105.32,104.38,104.15,105.73,834.24,813.79,66.5,757.96,60.39,106.9,106.9,847.03,824.77,70.32,767.93,63.47,463.85,463.85,869.74,844.88,117.35,787.13,108.41
8,0.00018641,0.21728,118.81704,119.03433,48.71,48.68,48.68,48.8,48.65,94.1,81.41,35.32,73.2,31.64,55.4,44.95,49.36,58.76,72.37,101.17,89.06,42.11,79.67,37.63,61.8,51.43,56.03,65.11,78.34,108.71,94.27,46.77,84.21,41.75,70.91,70.91,105.61,91.17,45.84,81.46,40.97,204.4,204.4,290.45,260.72,101.56,230.56,91.43,102.86,103.52,102.75,102.3,103.61,840.8,817.87,62.51,761.83,56.85,105.6,105.6,849.56,827.86,70.41,771.01,63.7,434.62,434.62,873.91,848.77,113.63,790.94,105.23
9,0.00018455,0.21344,117.85543,118.06887,46.8,46.66,46.7,46.89,46.97,93.91,81.98,30.29,73.97,27.28,53.33,43.16,47.59,56.56,69.94,99.97,88.54,39.4,78.97,35.23,61.34,51.69,56.04,64.42,76.78,108.14,94.72,43.34,84.8,38.62,67.99,67.99,104.74,90.59,43.29,80.88,38.6,200.67,200.67,278.02,248.72,98.67,219.18,88.5,103.24,104.39,103.24,102.49,103.81,830.85,809.53,61.96,754.64,56.25,104.52,104.52,844.66,822.63,66.34,766.89,59.84,458.7,458.7,854.71,831.45,116.04,775.04,107.3
10,0.00018270,0.20977,117.01689,117.22667,45.72,45.68,45.64,45.78,45.89,84.05,72.59,29.97,65.66,27.02,52.76,42.76,47.22,55.86,69.09,93.65,82.04,37.46,73.84,33.46,59.18,49.43,53.83,62.15,75.24,98.8,85.41,41.33,76.71,36.94,67.17,67.17,98.99,85.5,41.12,77.02,36.71,202.24,202.24,277.72,248.45,100.08,220.17,89.82,100.52,100.88,100.15,100.14,102.01,832.43,811.84,57.97,757.18,53.08,102.56,102.56,843.04,821.88,62.77,765.97,57.02,401.89,401.89,864.52,842.02,109.22,785.19,101.25
11,0.00018088,0.20699,116.22171,116.42870,46.0,46.21,46.15,45.94,45.65,86.41,74.79,32.72,67.09,29.46,52.34,42.64,46.73,55.33,69.28,94.32,82.88,38.84,73.93,34.79,57.56,47.94,52.19,60.43,74.17,100.81,87.38,43.01,77.97,38.53,67.97,67.97,98.25,84.32,42.77,75.21,38.11,185.44,185.44,283.92,250.89,108.81,221.06,97.94,94.67,95.58,94.56,94.11,95.45,826.58,806.1,59.38,750.7,54.1,97.6,97.6,842.12,820.7,62.62,764.28,56.72,453.08,453.08,868.58,843.45,116.78,785.48,108.59
13,0.00017728,0.20248,114.86738,115.06986,41.52,41.36,41.48,41.6,41.63,87.09,74.79,30.44,67.66,27.4,47.96,40.44,42.78,50.28,63.47,93.32,81.17,35.86,73.03,32.07,53.42,46.0,48.48,55.65,68.59,101.71,87.42,40.87,78.57,36.49,62.88,62.88,97.67,83.7,40.07,75.31,35.76,170.14,170.14,280.68,245.51,112.51,215.75,101.3,91.48,92.24,91.24,90.94,92.62,831.76,809.9,57.44,754.44,52.32,93.23,93.23,843.02,821.58,62.03,765.35,56.14,427.38,427.38,873.94,847.24,122.27,788.62,113.86
15,0.00017375,0.19851,113.57878,113.77729,44.35,44.27,44.26,44.42,44.42,82.96,71.05,28.12,64.13,25.44,49.19,42.96,44.45,51.46,62.04,87.84,76.79,33.22,68.82,29.82,54.46,48.19,49.91,56.67,67.18,95.0,81.93,37.27,73.48,33.43,66.19,66.19,95.38,81.99,38.83,73.33,34.74,178.61,178.61,274.27,239.09,108.69,209.74,97.49,93.04,93.63,92.84,92.68,93.92,818.45,799.14,57.87,744.2,52.66,98.65,98.65,836.66,814.35,61.41,758.46,55.46,410.75,410.75,860.83,836.61,119.62,779.58,111.45
17,0.00017029,0.19504,112.57815,112.77319,38.58,38.58,38.55,38.61,38.69,78.88,67.73,27.61,61.25,25.04,42.59,36.23,37.88,44.83,55.47,86.85,76.02,32.6,68.29,29.31,48.52,42.29,44.04,50.6,61.28,92.14,79.34,36.58,71.3,32.86,58.7,58.7,93.43,79.89,38.03,71.82,34.0,177.56,177.56,271.34,237.37,107.1,207.73,95.91,86.51,87.37,86.3,85.99,87.57,819.93,799.54,56.74,744.53,51.69,87.37,87.37,832.32,811.41,61.7,755.16,55.91,427.48,427.48,841.72,821.77,102.74,765.21,94.94
19,0.00016690,0.19236,111.68684,111.87920,41.56,41.5,41.52,41.61,41.63,78.58,67.35,28.45,60.65,25.64,44.8,39.0,40.36,46.73,57.2,84.17,72.93,33.19,65.35,29.76,50.43,44.85,46.3,52.3,62.15,90.76,77.93,36.94,69.79,33.09,61.25,61.25,90.11,76.76,37.92,68.68,33.91,172.24,172.24,263.7,230.06,106.27,201.08,95.1,86.55,87.38,86.45,86.02,87.36,818.73,798.75,55.3,743.75,50.45,88.33,88.33,833.64,811.51,58.53,755.56,52.95,418.66,418.66,854.97,833.26,111.54,775.91,103.11
21,0.00016358,0.19015,110.85510,111.04525,41.38,41.43,41.37,41.37,41.39,83.18,72.18,28.43,65.28,25.66,44.29,38.83,40.33,46.08,55.41,85.96,75.61,32.39,68.11,29.09,49.41,43.97,45.53,51.2,60.53,94.47,82.15,36.32,73.98,32.6,60.13,60.13,92.93,79.61,38.34,71.47,34.23,174.14,174.14,271.74,237.67,107.2,207.86,96.06,78.77,79.51,78.6,78.28,79.95,818.8,798.48,54.77,743.64,50.0,85.36,85.36,831.15,810.17,57.29,754.34,51.94,410.1,410.1,857.78,836.31,112.09,778.68,103.88
23,0.00016033,0.18850,110.18894,110.37744,40.4,40.39,40.41,40.43,40.32,75.1,64.2,26.96,58.07,24.38,43.66,38.1,39.69,45.48,54.47,79.76,69.22,31.0,62.24,27.84,48.6,43.36,44.74,50.27,59.17,86.12,74.07,34.67,66.6,31.17,60.41,60.41,85.17,72.17,36.74,64.61,32.86,175.88,175.88,268.04,232.23,108.35,202.41,97.23,81.13,81.97,80.97,80.68,82.04,807.16,787.8,55.22,733.68,50.18,86.62,86.62,819.25,797.74,58.41,742.69,52.78,429.44,429.44,854.87,832.28,103.72,774.46,95.57
25,0.00015714,0.18665,109.48707,109.67372,38.08,38.13,38.09,38.05,38.08,77.67,65.96,28.56,59.65,25.74,41.36,35.58,37.55,43.29,51.75,84.17,72.81,31.73,65.74,28.49,46.23,40.81,42.59,48.04,56.27,88.98,75.94,36.3,68.37,32.55,57.91,57.91,90.98,77.06,37.68,69.31,33.64,170.39,170.39,268.31,231.5,108.47,201.86,97.38,82.74,83.61,82.56,82.33,83.77,803.57,784.11,54.33,730.13,49.63,81.47,81.47,816.09,795.41,55.65,740.58,50.43,409.25,409.25,845.51,823.04,118.24,765.95,109.92
27,0.00015401,0.18513,108.84163,109.02675,38.18,38.04,38.17,38.24,38.18,77.32,66.61,27.02,60.38,24.47,40.3,34.75,36.42,42.11,51.06,83.88,73.68,30.91,66.62,27.77,45.84,40.8,42.12,47.49,56.03,87.14,75.47,33.97,68.1,30.59,57.58,57.58,89.62,76.66,36.55,69.07,32.68,171.2,171.2,270.6,234.42,107.7,204.71,96.53,79.48,80.39,79.25,79.03,80.61,805.48,785.53,53.6,731.48,48.93,83.05,83.05,822.94,801.11,55.63,745.83,50.41,420.88,420.88,856.69,834.27,105.23,775.83,97.2
