EXP_INFO, , ,PID,2969341, , , , ,"train.py --config ckpt/0502_AMASS_H36MMESH/06_01_TrainSameTestNearest/config.yaml -c ckpt/0502_AMASS_H36MMESH/06_01_TrainSameTestNearest/ -gpu 4,5 -bs 256 -vertex_x1000 -fix_prompt TrainSame_TestNearest -out 050206_01", , ,Checkpoint,ckpt/0502_AMASS_H36MMESH/06_01_TrainSameTestNearest/, , ,Config,ckpt/0502_AMASS_H36MMESH/06_01_TrainSameTestNearest/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,AMASS, , , , , , , , , , , , , , , , , , , , , , , ,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,MP, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , ,PE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
1,0.00020000,0.31155,291.06947,291.38102,256.84,256.94,256.84,256.78,256.94,351.1,300.95,131.19,264.13,119.4,272.48,272.48,351.22,300.76,130.24,264.04,118.68,256.67,256.67,350.82,300.48,130.12,263.79,118.57,318.2,321.05,318.83,317.29,316.09,402.4,357.1,163.94,316.35,152.78,336.51,336.51,402.24,356.64,162.93,315.81,151.86,317.51,317.51,401.85,356.36,163.05,315.57,151.95
2,0.00019800,0.22492,231.89304,232.11796,273.54,273.47,273.51,273.5,273.71,344.08,296.52,134.2,260.14,122.2,290.17,290.17,343.57,295.98,133.27,259.78,121.5,273.41,273.41,343.7,296.09,133.27,259.86,121.5,341.94,343.3,341.42,341.92,341.6,414.29,371.73,163.89,328.43,153.17,361.14,361.14,413.85,371.12,163.22,327.79,152.54,341.81,341.81,413.92,371.2,163.3,327.89,152.63
3,0.00019602,0.18573,204.40631,204.59203,253.64,253.64,253.65,253.59,253.73,334.73,286.26,127.61,251.38,116.09,270.66,270.66,334.53,286.06,127.56,251.41,116.22,254.69,254.69,334.53,286.03,127.5,251.38,116.15,338.5,340.91,338.62,338.16,336.72,418.47,376.13,171.58,333.32,159.93,358.29,358.29,418.41,376.03,171.37,333.19,159.73,338.21,338.21,418.31,375.98,171.4,333.21,159.77
4,0.00019406,0.17682,197.54423,197.72105,253.15,253.26,253.12,253.07,253.25,328.09,285.46,132.22,250.35,120.02,269.27,269.27,328.07,285.3,131.48,250.36,119.51,253.67,253.67,328.15,285.3,131.4,250.35,119.44,326.58,329.1,326.76,326.11,324.79,407.42,367.18,170.74,324.9,159.07,345.87,345.87,407.07,366.83,170.41,324.53,158.74,326.79,326.79,407.23,366.94,170.48,324.65,158.81
5,0.00019212,0.16747,190.36358,190.53106,261.29,261.37,261.26,261.19,261.48,335.45,290.73,135.39,255.51,123.27,278.01,278.01,335.34,290.45,134.74,255.41,122.85,261.88,261.88,335.58,290.59,134.67,255.52,122.79,334.12,336.48,334.22,333.77,332.32,407.94,368.61,168.83,326.31,157.45,353.97,353.97,407.84,368.53,168.74,326.19,157.34,334.36,334.36,408.01,368.64,168.72,326.3,157.33
6,0.00019020,0.16053,185.46609,185.62662,259.21,259.38,259.19,259.08,259.35,337.01,292.31,138.65,257.04,126.4,275.46,275.46,337.18,292.21,137.75,257.0,125.71,259.05,259.05,336.83,291.99,137.64,256.81,125.61,333.34,335.86,333.76,332.85,331.17,407.57,368.66,171.78,326.35,160.18,353.21,353.21,407.77,368.8,171.62,326.45,160.02,333.41,333.41,407.52,368.59,171.55,326.26,159.96
7,0.00018830,0.15478,181.60626,181.76104,259.27,259.36,259.29,259.17,259.33,329.43,285.41,129.96,250.8,118.28,275.34,275.34,329.03,284.9,129.5,250.48,118.03,258.98,258.98,329.08,284.92,129.38,250.49,117.92,336.33,338.72,336.23,335.84,335.15,412.32,373.32,176.44,330.73,164.56,356.29,356.29,412.31,373.33,176.2,330.72,164.35,336.64,336.64,412.45,373.4,176.13,330.79,164.28
8,0.00018641,0.15117,179.28579,179.43696,257.67,257.73,257.67,257.62,257.73,334.49,290.35,134.72,255.63,122.64,273.86,273.86,334.5,290.18,134.12,255.56,122.23,257.52,257.52,334.46,290.15,134.03,255.53,122.14,327.4,329.88,327.52,326.93,325.82,410.12,370.39,172.52,327.78,160.74,346.88,346.88,410.1,370.33,172.33,327.71,160.56,327.74,327.74,410.18,370.41,172.37,327.78,160.59
9,0.00018455,0.14485,175.63540,175.78025,258.57,258.53,258.48,258.56,258.82,339.05,293.25,139.44,258.07,127.0,274.26,274.26,338.59,292.76,138.52,257.69,126.28,258.04,258.04,338.53,292.68,138.48,257.62,126.25,334.18,336.98,334.61,333.6,331.86,415.34,374.01,170.42,331.22,158.88,354.08,354.08,415.53,374.13,170.27,331.31,158.74,334.37,334.37,415.57,374.19,170.29,331.37,158.76
10,0.00018270,0.14291,174.47521,174.61812,254.05,253.95,254.05,254.05,254.12,330.51,286.78,128.25,251.96,116.62,270.03,270.03,330.25,286.39,127.92,251.75,116.5,254.3,254.3,330.17,286.34,127.87,251.7,116.46,332.01,334.27,332.05,331.66,330.46,411.92,372.27,171.28,329.47,159.8,351.88,351.88,412.11,372.44,171.14,329.6,159.66,332.35,332.35,412.12,372.45,171.15,329.62,159.67
11,0.00018088,0.13779,171.23620,171.37399,259.8,259.78,259.76,259.77,259.99,335.06,290.2,136.65,254.83,124.39,275.43,275.43,334.58,289.54,135.58,254.36,123.55,259.06,259.06,334.52,289.52,135.56,254.34,123.54,335.81,338.8,336.29,335.08,333.5,409.42,369.59,171.46,327.42,159.92,355.97,355.97,409.5,369.65,171.19,327.43,159.67,336.1,336.1,409.58,369.71,171.24,327.49,159.71
13,0.00017728,0.13310,167.18519,167.31830,263.86,263.95,263.85,263.78,263.97,337.46,294.44,140.86,259.33,128.36,280.37,280.37,337.43,294.3,140.02,259.29,127.74,264.09,264.09,337.63,294.41,139.97,259.38,127.69,327.63,330.17,327.87,327.02,325.88,411.5,372.17,172.63,329.87,160.99,346.96,346.96,411.44,372.2,172.54,329.88,160.91,327.78,327.78,411.57,372.28,172.5,329.95,160.87
15,0.00017375,0.13252,164.81641,164.94893,264.67,264.66,264.69,264.61,264.73,335.64,291.47,138.55,256.44,126.1,281.5,281.5,335.6,291.19,137.39,256.27,125.2,264.28,264.28,335.21,290.93,137.35,256.05,125.17,340.16,342.02,340.07,339.94,339.0,412.49,372.51,174.6,329.82,162.69,361.15,361.15,412.85,372.82,174.48,330.08,162.58,340.53,340.53,412.64,372.65,174.4,329.93,162.5
17,0.00017029,0.12497,162.23273,162.35769,263.53,263.68,263.55,263.43,263.51,324.04,281.52,133.84,247.66,121.37,280.13,280.13,324.13,281.52,133.37,247.78,121.11,263.78,263.78,323.9,281.35,133.27,247.63,121.01,339.66,341.92,340.09,339.23,337.44,407.77,369.36,174.69,327.77,162.66,360.43,360.43,408.05,369.6,174.55,327.95,162.52,339.85,339.85,407.87,369.48,174.51,327.86,162.5
19,0.00016690,0.12407,161.00191,161.12599,252.56,252.47,252.62,252.57,252.54,323.07,280.43,122.69,246.54,111.07,268.47,268.47,323.18,280.28,122.51,246.57,111.09,252.93,252.93,323.15,280.26,122.51,246.56,111.09,338.36,340.92,338.81,337.81,336.28,413.84,374.27,176.93,332.04,164.81,358.15,358.15,413.91,374.39,176.91,332.13,164.78,338.42,338.42,414.11,374.55,176.97,332.29,164.85
