EXP_INFO, , ,PID,2735904, , , , ,"train.py --config ckpt/0502_AMASS_H36MMESH/0702_NotUseGlobalOrient/config.yaml -c ckpt/0502_AMASS_H36MMESH/0702_NotUseGlobalOrient/ -gpu 6,7 -bs 256 -vertex_x1000 -out 050207_02", , ,Checkpoint,ckpt/0502_AMASS_H36MMESH/0702_NotUseGlobalOrient/, , ,Config,ckpt/0502_AMASS_H36MMESH/0702_NotUseGlobalOrient/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,AMASS, , , , , , , , , , , , , , , , , , , , , , , ,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,MP, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , ,PE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
1,0.00020000,0.35479,364.29395,364.64874,115.4,114.79,115.21,115.55,116.08,128.01,106.94,87.65,93.9,77.38,123.36,123.36,133.07,109.93,91.26,96.47,80.55,114.25,114.25,124.07,104.04,85.38,91.34,75.25,169.71,170.46,170.39,169.27,168.9,211.32,163.82,123.97,147.28,114.42,162.03,162.03,192.41,146.55,114.5,131.97,105.24,143.77,143.77,180.13,136.43,108.89,122.15,99.57
2,0.00019800,0.29462,277.88323,278.17785,93.76,83.37,90.85,97.47,102.32,113.11,94.69,79.26,82.57,69.52,91.04,91.04,92.58,72.73,60.76,63.79,53.86,73.22,73.22,83.26,65.45,53.38,57.56,47.26,126.6,128.92,127.0,124.89,127.29,173.37,131.49,106.28,116.96,96.47,114.33,114.33,130.54,94.97,82.63,84.52,74.29,98.5,98.5,125.73,93.35,78.82,83.23,71.21
3,0.00019602,0.25285,251.72273,251.97557,85.44,73.97,81.96,89.65,95.31,101.23,85.16,70.33,74.41,62.07,84.0,84.0,77.86,63.49,52.6,56.28,47.33,67.84,67.84,71.44,58.51,45.84,52.04,41.5,112.18,112.97,112.06,111.55,113.51,148.05,116.65,90.41,104.66,82.64,109.83,109.83,114.75,87.0,73.15,79.35,67.33,92.23,92.23,110.49,86.18,69.68,78.52,64.57
4,0.00019406,0.22527,234.92998,235.15526,68.33,55.89,61.51,73.37,85.06,79.05,63.54,49.08,56.19,43.8,83.16,83.16,74.58,57.97,47.3,51.42,42.43,53.79,53.79,57.13,41.84,29.33,37.49,26.72,114.88,113.79,114.47,115.02,117.55,140.24,112.74,83.59,101.22,76.74,106.14,106.14,101.21,72.46,62.72,65.15,56.75,70.67,70.67,78.69,54.89,43.82,50.04,39.88
5,0.00019212,0.19409,217.41506,217.60914,57.87,47.2,52.15,61.9,72.46,65.57,52.81,41.4,46.86,37.08,74.55,74.55,66.62,51.76,44.42,45.5,39.87,45.9,45.9,47.94,35.42,26.82,31.66,24.51,93.78,94.01,93.18,93.79,95.45,124.49,98.2,74.23,88.48,67.62,88.29,88.29,88.34,63.19,58.05,56.31,52.19,56.96,56.96,62.21,44.05,37.82,40.0,34.35
6,0.00019020,0.18092,210.02881,210.20974,60.18,52.84,55.92,62.76,71.35,64.96,50.76,35.64,46.12,32.48,80.31,80.31,67.48,52.31,42.17,46.66,37.73,52.33,52.33,48.92,36.44,25.73,33.0,23.38,111.72,112.1,111.89,111.97,111.6,139.77,108.03,83.0,97.01,75.94,95.21,95.21,90.07,64.02,55.12,57.19,49.7,63.12,63.12,65.87,46.45,35.84,42.18,32.77
7,0.00018830,0.17282,205.02251,205.19533,51.05,44.59,47.35,53.26,60.92,63.58,49.59,36.34,43.97,33.04,73.48,73.48,71.13,56.39,45.15,49.73,40.93,43.14,43.14,50.87,38.83,26.96,34.54,25.03,96.82,97.04,96.42,96.89,97.86,127.12,97.74,74.14,88.05,67.3,96.15,96.15,95.81,70.58,61.59,63.8,56.37,55.12,55.12,64.17,46.96,38.3,43.27,35.59
8,0.00018641,0.16795,200.53575,200.70370,55.5,48.23,51.7,58.12,65.5,50.89,41.1,28.54,36.65,26.1,73.58,73.58,57.11,44.77,37.54,39.47,33.61,46.5,46.5,38.96,29.51,20.51,26.4,18.84,93.92,94.04,93.19,94.11,96.02,120.88,96.52,70.33,87.28,64.49,87.62,87.62,77.24,56.33,48.97,50.58,44.47,52.49,52.49,52.07,39.21,29.21,36.04,27.23
9,0.00018455,0.16313,197.08141,197.24454,57.87,53.75,55.13,59.23,65.14,63.21,51.06,35.91,45.53,32.97,86.54,86.54,77.16,63.45,47.9,56.46,43.93,55.1,55.1,57.24,46.65,30.92,41.85,29.13,98.91,98.79,98.8,99.01,99.7,143.73,111.01,80.72,98.96,73.83,98.46,98.46,100.38,76.76,63.04,69.21,58.15,55.56,55.56,68.69,54.48,40.57,49.79,38.25
10,0.00018270,0.15909,194.16978,194.32888,58.86,53.53,55.98,60.69,66.56,53.26,43.62,30.01,39.07,27.79,77.15,77.15,56.63,43.85,36.41,38.81,32.72,51.56,51.56,40.19,31.41,20.98,28.37,19.61,98.58,99.61,98.3,98.31,99.15,109.89,88.07,63.78,79.82,58.12,90.34,90.34,76.65,56.12,48.61,51.01,44.21,58.19,58.19,51.95,41.25,29.9,38.62,28.08
11,0.00018088,0.15553,191.62379,191.77933,57.65,51.19,54.05,59.93,67.12,54.46,44.66,31.87,39.85,29.04,75.58,75.58,61.44,49.4,39.34,43.76,35.5,50.55,50.55,45.66,37.64,25.37,33.74,23.63,96.52,96.09,95.75,96.86,98.05,121.2,91.82,71.42,82.69,64.49,83.36,83.36,80.33,58.82,50.3,53.51,45.69,52.61,52.61,57.19,44.36,32.77,41.43,30.68
13,0.00017728,0.15016,187.61999,187.77016,50.67,44.56,47.4,52.89,59.24,46.98,37.49,26.53,33.45,24.07,69.2,69.2,52.69,40.37,34.16,35.62,30.56,44.86,44.86,35.51,27.38,18.97,24.65,17.3,81.31,81.71,81.03,81.37,82.25,102.39,81.48,61.42,73.65,55.88,80.91,80.91,71.27,51.5,44.72,46.7,40.35,54.64,54.64,46.79,36.05,26.3,34.03,24.32
15,0.00017375,0.14465,183.52882,183.67347,47.86,41.35,44.42,50.22,56.95,49.46,40.97,28.38,36.5,25.96,65.52,65.52,54.57,43.4,34.2,38.41,31.17,41.07,41.07,39.11,31.78,21.21,28.43,19.71,84.49,85.39,84.15,84.35,85.1,103.08,82.84,59.87,75.26,54.81,81.36,81.36,71.97,53.95,44.72,48.53,40.98,49.15,49.15,49.24,39.46,26.76,36.31,25.23
17,0.00017029,0.13942,180.69909,180.83851,55.45,49.84,52.39,57.52,63.4,48.53,36.9,25.79,33.16,23.42,68.26,68.26,50.2,36.46,30.32,32.31,27.28,49.44,49.44,36.6,25.66,16.54,23.28,15.31,79.55,80.29,79.36,79.52,79.99,104.0,81.61,59.44,73.87,54.09,76.37,76.37,63.55,44.09,38.9,39.61,35.27,48.04,48.04,40.82,29.01,19.79,26.94,18.68
19,0.00016690,0.13574,178.25915,178.39489,53.23,47.18,49.98,55.54,61.58,45.93,36.5,23.41,33.05,21.35,68.24,68.24,51.24,38.19,28.95,34.55,26.1,45.9,45.9,33.77,25.16,13.7,23.09,12.84,75.18,76.07,74.95,75.09,75.93,102.39,82.25,56.9,75.07,52.16,72.17,72.17,65.45,45.34,39.67,41.49,35.93,40.78,40.78,39.2,27.85,19.63,26.39,18.38
21,0.00016358,0.13377,176.21244,176.34621,47.49,40.42,43.83,50.12,57.05,46.54,37.08,24.78,33.31,22.9,62.57,62.57,47.15,35.1,28.53,31.16,25.92,38.52,38.52,33.29,24.93,15.43,22.63,14.67,78.24,78.83,77.82,78.29,78.86,95.97,77.34,54.99,70.41,50.29,74.85,74.85,58.88,41.09,38.75,36.86,35.2,41.8,41.8,35.8,26.22,18.57,24.57,17.61
23,0.00016033,0.12979,174.48454,174.61433,65.0,60.48,62.7,66.65,71.12,45.15,35.52,25.26,31.64,22.95,74.71,74.71,47.4,34.29,29.51,30.16,26.45,59.81,59.81,32.84,23.91,16.33,21.38,15.1,90.36,90.98,90.21,90.33,90.98,98.71,79.43,55.04,72.2,50.48,80.15,80.15,61.39,41.31,38.6,37.11,34.89,58.2,58.2,38.49,27.36,19.75,25.64,18.59
25,0.00015714,0.12812,172.82856,172.95668,48.49,42.22,45.23,50.82,56.97,45.11,36.1,24.23,32.5,22.02,63.62,63.62,47.94,35.9,28.62,32.09,25.79,41.64,41.64,33.29,24.9,15.0,22.79,13.94,83.87,84.5,84.0,83.83,84.2,102.62,82.41,53.83,75.44,49.52,75.01,75.01,59.62,40.65,37.91,36.92,34.33,44.62,44.62,36.2,24.88,18.83,23.62,17.72
27,0.00015401,0.12527,171.39354,171.51881,45.37,38.69,41.97,47.83,54.34,43.96,34.27,25.25,30.51,22.68,58.38,58.38,46.54,33.23,29.34,29.26,26.17,37.44,37.44,31.26,22.22,16.47,19.88,14.89,85.04,85.56,85.06,84.89,85.55,96.59,75.64,54.33,68.99,49.72,76.21,76.21,59.33,40.46,38.56,36.61,34.83,49.07,49.07,36.22,25.83,20.13,24.34,18.81
29,0.00015094,0.12281,170.30263,170.42544,42.17,35.68,38.92,44.53,50.83,47.97,34.91,23.82,31.22,21.78,56.22,56.22,50.18,34.17,29.19,30.35,26.28,35.37,35.37,37.21,23.65,15.58,21.38,14.52,68.84,69.64,68.66,68.65,69.72,94.41,76.63,51.73,70.01,47.52,64.33,64.33,64.58,41.99,38.36,37.97,34.56,35.38,35.38,43.22,28.58,19.3,26.72,17.98
31,0.00014794,0.12112,168.96266,169.08378,47.22,40.88,43.89,49.58,55.91,43.96,34.07,21.86,30.66,20.13,61.34,61.34,46.51,33.59,26.38,30.01,23.88,39.99,39.99,33.23,23.43,13.29,21.36,12.75,88.19,89.18,88.35,87.78,88.38,96.85,79.28,51.43,72.44,47.34,77.42,77.42,61.76,42.92,35.32,39.14,32.41,52.52,52.52,41.24,30.15,18.59,28.33,18.05
33,0.00014500,0.12027,168.02850,168.14876,53.12,46.89,49.93,55.39,61.57,43.52,34.69,24.18,31.39,21.89,67.37,67.37,46.8,34.67,28.73,31.01,25.67,46.23,46.23,31.92,23.45,15.64,21.47,14.28,86.79,87.86,86.89,86.33,87.05,93.52,75.83,50.38,69.38,46.4,76.0,76.0,58.0,39.4,37.16,36.3,33.67,48.97,48.97,35.76,25.13,19.66,24.32,18.39
35,0.00014211,0.11924,168.31284,168.43208,39.37,32.54,36.0,41.88,48.24,42.29,32.34,21.89,29.09,19.98,52.77,52.77,45.02,32.12,26.61,28.63,24.04,32.12,32.12,31.0,21.06,12.84,19.28,12.06,79.02,80.16,79.31,78.59,79.03,95.62,77.91,51.06,71.34,47.04,68.7,68.7,57.79,38.04,35.28,34.71,32.04,42.18,42.18,35.2,23.17,16.0,22.26,15.25
37,0.00013928,0.11657,166.18116,166.29773,49.42,42.95,46.25,51.83,57.74,41.57,32.59,23.14,29.1,20.95,63.25,63.25,42.33,30.74,25.77,27.2,23.23,42.4,42.4,28.35,20.18,13.75,18.16,12.75,70.76,71.41,70.72,70.59,71.31,91.19,74.52,48.61,68.28,44.75,65.3,65.3,53.21,35.85,33.82,32.72,30.71,38.56,38.56,31.98,22.51,16.78,21.52,15.84
39,0.00013651,0.11460,165.20884,165.32343,44.38,37.73,40.97,46.85,53.23,42.86,33.55,23.65,29.94,21.32,56.69,56.69,44.63,32.22,27.26,28.41,24.38,36.49,36.49,29.25,20.68,13.07,18.6,12.02,77.6,78.16,77.24,77.57,78.26,90.59,73.94,48.45,67.8,44.69,64.32,64.32,53.77,36.64,35.43,33.22,32.12,36.74,36.74,31.6,22.37,17.36,21.17,16.23
41,0.00013379,0.11380,164.61034,164.72414,36.15,28.99,32.65,38.76,45.5,42.65,32.46,22.94,28.97,20.73,48.58,48.58,44.52,31.02,26.52,27.36,23.72,27.52,27.52,30.13,20.46,13.83,18.36,12.66,76.97,77.98,76.98,76.64,77.37,90.08,73.07,48.03,67.04,44.33,62.36,62.36,56.14,37.34,35.57,33.83,32.17,35.72,35.72,32.82,22.91,17.13,21.66,16.01
43,0.00013113,0.11208,163.66345,163.77553,39.12,32.08,35.63,41.73,48.31,42.74,33.6,22.23,30.36,20.41,53.51,53.51,46.08,33.97,26.95,30.25,24.35,30.69,30.69,30.93,22.16,12.87,20.32,12.11,73.52,74.43,73.35,73.26,74.08,89.25,73.01,47.54,66.89,43.76,66.01,66.01,56.76,39.29,34.99,36.07,31.89,36.62,36.62,34.24,24.76,16.03,23.89,15.26
45,0.00012852,0.11108,162.96595,163.07703,43.83,37.66,40.69,46.08,52.11,41.93,33.29,23.46,29.65,21.2,56.73,56.73,45.62,33.91,28.65,29.91,25.59,36.98,36.98,30.09,21.93,15.24,19.55,13.88,75.21,76.23,75.19,74.94,75.56,88.66,73.3,47.06,67.1,43.49,63.49,63.49,57.52,40.16,36.49,36.26,33.19,37.1,37.1,33.5,25.17,17.53,23.39,16.47
47,0.00012596,0.10974,162.31993,162.42968,34.55,26.47,30.65,37.63,44.73,40.61,31.66,22.11,28.28,20.03,47.2,47.2,41.74,29.81,25.3,26.38,22.73,25.17,25.17,26.77,18.07,11.82,16.3,10.93,76.81,77.48,76.69,76.7,77.15,87.64,71.89,46.73,65.66,43.11,61.76,61.76,53.42,34.91,34.03,31.93,30.87,34.52,34.52,29.78,19.95,15.39,19.2,14.47
49,0.00012346,0.10870,161.65269,161.76138,36.96,29.99,33.45,39.52,46.21,42.71,33.18,22.36,29.92,20.53,49.97,49.97,44.6,32.36,26.07,28.9,23.54,29.27,29.27,32.27,23.03,14.46,21.04,13.69,71.77,72.98,71.51,71.44,72.34,87.04,70.4,47.16,64.42,43.46,66.05,66.05,57.33,39.9,34.28,36.16,31.34,39.54,39.54,38.11,28.29,17.81,26.31,17.04
